series_id,group,date_first_issued,loan_prefix,coupon,maturity,total_amt_outstanding_incl_rb_eqc_sresl_m,rbnz_m,eqc_m,sresl_m,market_bonds_m,publish_date,as_of_date
INM.DG19.NS5405,Secondary market government bond yields,2024-02-15,0554,0.05,2054-05-15,4500,150,0,0,4350,2025-07-01,2025-06-30
INM.DG19.NS2904,Secondary market government bond yields,2018-03-15,0429,0.03,2029-04-20,21525,350,0,0,21175,2025-07-01,2025-06-30
INM.DG19.NS2805,Secondary market government bond yields,2020-10-15,0528,0.0025,2028-05-15,16350,350,0,0,16000,2025-07-01,2025-06-30
INM.DG29.NS3009,Inflation indexed bond,2013-10-15,0930,0.03,2030-09-20,4995,350,0,0,4645,2025-07-01,2025-06-30
INM.DG19.NS3205,Secondary market government bond yields,2021-06-15,0532,0.02,2032-05-15,14500,350,0,0,14150,2025-07-01,2025-06-30
INM.DG19.NS3105,Secondary market government bond yields,2019-09-15,0531,0.015,2031-05-15,12500,350,0,0,12150,2025-07-01,2025-06-30
INM.DG19.NS3605,Secondary market government bond yields,2024-08-15,0536,0.0425,2036-05-15,8425,150,0,0,8275,2025-07-01,2025-06-30
INM.DG19.NS5105,Secondary market government bond yields,2021-09-15,0551,0.0275,2051-05-15,7375,350,0,0,7025,2025-07-01,2025-06-30
INM.DG19.NS2605,Secondary market government bond yields,2021-02-15,0526,0.005,2026-05-15,9300,150,0,0,9150,2025-07-01,2025-06-30
INM.DG19.NS3704,Secondary market government bond yields,2016-08-15,0437,0.0275,2037-04-15,7987,350,0,0,7637,2025-07-01,2025-06-30
INM.DG29.NS2509,Inflation indexed bond,2012-10-15,0925,0.02,2025-09-20,3244,250,0,0,2994,2025-07-01,2025-06-30
INM.DG19.NS2704,Secondary market government bond yields,2014-07-15,0427,0.045,2027-04-15,17963,350,0,0,17613,2025-07-01,2025-06-30
INM.DG19.NS3304,Secondary market government bond yields,2015-10-15,0433,0.035,2033-04-14,15859,350,0,0,15509,2025-07-01,2025-06-30
INM.DG19.NS4105,Secondary market government bond yields,2020-07-15,0541,0.0175,2041-05-15,6869,350,0,0,6519,2025-07-01,2025-06-30
INM.DG19.NS3505,Secondary market government bond yields,2024-04-15,0535,0.045,2035-05-15,12025,150,0,0,11875,2025-07-01,2025-06-30
INM.DG29.NS3509,Inflation indexed bond,2014-11-15,0935,0.025,2035-09-20,7178,350,0,0,6828,2025-07-01,2025-06-30
INM.DG29.NS4009,Inflation indexed bond,2017-03-15,0440,0.025,2040-09-20,5090,350,0,0,4740,2025-07-01,2025-06-30
INM.DG19.NS3005,Secondary market government bond yields,2023-03-15,0530,0.045,2030-05-15,14700,350,0,0,14350,2025-07-01,2025-06-30
INM.DG19.NS3405,Secondary market government bond yields,2022-11-15,0534,0.0425,2034-05-15,9925,350,0,0,9575,2025-07-01,2025-06-30
